Country,Code,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.109008877,7.767382032,8.22785389,7.806462606,9.286679298,9.698133293,10.962214732,11.773808507,12.935328606,14.045591296,13.660338654,14.490779858,16.433321887,17.827564971,19.798063865,21.936817658,22.708188019,23.389948115,25.187677976,28.447993477,29.864597914,32.905114673,35.498300094,38.331624109,40.511875875,42.752618056,46.899409122,47.928919478,53.270543649,57.685283613,56.107957825,59.726431409,64.239569972,65.868598566,70.718185657,77.829211953,82.828572486,86.129504922,87.628563152,101.696184414,98.292510438,110.126751254,113.062214938,125.95557756
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.378613281,88.988656972,92.019989958,93.020270418,93.086468593,94.806541882,98.947943701,97.329000774,95.309506834,86.772143754,79.086599696,61.192133154,59.09190249,56.113309546,57.318339167,59.962445734,58.542985021,54.63050795,48.09133492,43.349014415,45.000459131,44.485910249,43.352751294,45.907074983,45.91875579,46.119889328,47.050031788,45.639651993,47.779317378,42.301704701,42.034238252,48.149076471,44.463201476,39.923239614,42.663320113,44.948897677,41.729415418,44.124719863,41.542759685,40.289649564,35.17719275,40.654544191,44.326274923,33.465186387
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.759153,8.8660396,9.3215429,9.8770462,9.58819389,11.41025412,12.1990594,14.75442161,12.61016006,13.03236138,14.287882779,15.94322689,13.536562689,15.986850564,15.831580133,15.931580133,15.888762569,18.435226434,19.462989604,20.298400792,20.312282377,20.759663145,21.858248691,22.472130276,23.127159064,25.310448571,27.826739712,28.546264819,30.545440408,30.882763601,31.351673973,32.885320596,34.991926707,38.720921492,38.511888511,38.815487511,39.162568161,38.934433631,39.014442502,42.539993471,41.244724874,43.155539508,45.839505088,47.818391012
The Bahamas,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99007,4.2,3.6,2.7,2.5,2.2,2.4,2.7,2.4,2.8,3,2.6,2.2,2.3,2.7,3.2,3.6,3.5,4,3.6,3.5,3.4,3.4,4.2,4.3,4.9,4.9,3.333506078,5.1,3.6,3.6,2.968306614,3.44992947,3.185439519,3.112139926,2.935131,3.076548,3.664372636,3.982675282,3.09025153,2.580113425,3.277125335,3.031007026,2.990226222
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,8.455783826,6.073801738,5.946905822,9.986675046,4.76732975,10.349730953,13.108146441,12.817986591,14.590383109,14.42719838,15.016145707,13.487441147,12.47860196,11.006871314,11.12803019,11.336612375,12.586240717,15.180806728,16.291911047,18.014810337,17.550581884,16.562038964,16.730131593,16.974379881,17.541523865,18.429986125,17.266938088,16.052121015,16.055294261,17.985678832,26.370353947,24.512827053
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,89.291083853,79.727988576,65.914730418,61.573934447,59.950772362,58.911641256,56.655841976,57.936241222,59.290466085,53.852183737,50.706951773,55.735321094,54.748940768,64.142207248,66.311826977,59.547752099,66.696796007,60.854088909,64.13182001,66.50656537,65.141478209,62.115026688,62.454652366,53.136445197,52.898640494,52.914824688,56.036363734,53.342757851,50.442678952,51.002518048,49.73953627,46.708993369
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2255,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,0.9,0.8,0.8,0.9,1,1,1.073313812,1,0.5,0.5,0.423049876,0.476432412,0.516362349,0.505700203,0.597846,0.591488,0.676589459,0.577712955,0.779278,0.6101533,0.6601845,0.6722468,0.662250031
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5307,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.8,0.9,0.7,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.768531146,0.8,0.7,0.7,0.527135539,0.559253927,0.580391832,0.747555419,0.638996,0.813297,0.775416033,0.797279806,0.6550833,0.4880709,0.5750722,0.586248683,0.577092569
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13884618,4.63953927,4.03668,4.09585,4.042793333,3.583623333,3.642793333,3.442793333,3.908076667,4.579473333,4.8917,4.779473333,5.197813333,4.992891168,5.755007116,6.787921242,6.455985558,7.123834197,6.703551915,8.0622599,8.767200111,7.705578224,8.897322846,11.186008921,11.39020046,11.231409602,12.499241282,11.087513081,13.721463632,12.741271491,13.325875656,13.247764437,15.484720188,15.806032418,16.1814403,15.937316567,17.25413277,18.092137786,18.36682507,19.596160762,16.07287478,19.393726701,21.226385832,21.551966119
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.731100826,178.096623767,174.065355486,166.134085081,181.00356415,194.906575648,215.790895603,222.947276004,223.394276154,231.995595162,243.069804424,251.544042026,243.906254218,265.128557628,279.392176316,299.819187827,316.633890261,333.150113347,329.492351347,341.813329688,326.632456149,331.635044954,328.257054614,322.710828384,337.988532755,342.001465182,349.282669137,362.983462641,383.629281149,355.535677219,409.648966863,431.174655173,462.028577038,491.320111606,509.822374377,500.437378452,466.802668561,475.528895334,453.443272227,405.781801762,388.588327583,438.988060195,436.193760114,437.769177567
