Country,renewable_share_pct,co2_intensity_kg_per_usd,total_co2_mt
Moldova,4.76770311108541,0.21297306936915397,241.029928212
Mongolia,1.8675016441816301,0.43027068943366953,530.640146217
Montenegro,22.22583223450018,0.037839758760886286,41.121300709
Morocco,2.930798589461304,2.1708754187094703,1398.236244098
Mozambique,32.550172196441785,0.980067287022036,135.642088705
Namibia,20.948519162511626,0.11882138120917383,90.664037178
Nepal,19.50283262605004,1.5085342040814402,132.362511755
Netherlands,2.789264338406785,0.9574837934411959,7695.107529265
New Zealand,17.32070441374023,0.23260766865650148,1185.553586186
Nicaragua,11.423451512382385,0.34927572111231625,129.946401664
Niger,7.3840078748532285,1.138564687843122,54.242663107
Nigeria,2.156025540759108,9.981403555355374,2428.616911961
Non-OECD,3.235886929322172,382.15141613503505,557262.54310095
Non-OPEC,4.372562419554975,408.8317685767855,938612.038854925
North America,6.133420664313886,25.139350704188132,216380.966458925
North Korea,5.930037937322193,2.205333244246386,2534.28055914
North Macedonia,9.83543624081791,0.15237283451307115,240.817599277
Norway,40.03690486246469,0.18264415942853068,1389.927026557
OECD,5.247440533369837,72.5146619468468,434624.722682207
OECD - Asia And Oceania,2.4034929238667084,12.181593886236746,71577.026060875
OECD - Europe,5.2276964990154395,30.7011735120437,139411.710858165
OECD - North America,6.133751123571349,25.131929961771927,216338.597416721
OPEC,1.2575699557978148,21.23478486039858,53275.226928232
OPEC - Africa,0.9171153729020702,12.13837187580285,7554.525543782
OPEC - South America,9.913113641879917,1.4131620392700996,4144.284386077
Oman,0.04026084609508644,0.17508265972356424,1393.373409308
Other Americas,7.581918538626272,15.50876598704981,23427.665486304
Other Asia-Pacific,2.891251015993384,69.38637159705547,59952.218464083
Pakistan,4.940905357343488,11.077113327178717,4516.271190967
Palestinian Territories,30.514139682068482,0.19761403548802972,63.880490554
Panama,5.926730732656532,0.23552822949389535,592.376294195
Papua New Guinea,5.782057359237761,0.45702167302341923,135.800584608
Paraguay,31.51697306124326,0.2619929289190937,160.036388818
Persian Gulf,0.28266827098021374,7.955750203016716,44782.534437126
Peru,12.767626321356724,1.6520616010590965,1226.712810023
Philippines,5.831278151821654,6.518737849673189,2879.2787277
Poland,-2.0423228247112672,3.01806487006217,10764.330888497
Portugal,9.943748234347115,0.611019863229817,1782.203633738
Puerto Rico,0.34768861881486496,0.23073487569999146,723.85119038
Qatar,0.017325117728811065,0.07734877972137755,2235.886418465
Reunion,9.537682286167444,0.05148966788619326,47.524621581
Romania,5.443281313450023,1.2884868996025771,3209.552393468
Russia,1.7719387639816429,8.579617330359731,216818.905420864
Rwanda,7.282298100808318,0.6775506169302474,29.763721632
Saint Kitts and Nevis,0.30753196669941657,0.003031657241330706,6.23781847
Saint Lucia,0.06079550532967263,0.011424536559015786,12.742256588
Saint Vincent/Grenadines,3.135379882798229,0.007292530694281859,6.378740132
Samoa,4.837669173665381,0.010841047965542859,6.830847272
Sao Tome and Principe,1.7189173946251743,0.012485820364305763,3.838357766
Saudi Arabia,0.006917182167368931,1.1919578311040433,14147.787446355
Senegal,2.1548777269679205,0.8493004485709822,208.890021367
Serbia,8.900154797868264,0.5430124603886152,836.390832166
Seychelles,0.3299025217972207,0.006707592424115764,28.787827859
Sierra Leone,1.6796308681098675,0.5139475367395618,34.648862211
Singapore,0.42521044503160743,0.30189218240407234,5274.285913212
Slovakia,3.8635643698811086,0.2728637809993957,1176.830475076
Slovenia,4.971640902943819,0.1146811253502761,464.214358279
Solomon Islands,0.42530122746269805,0.035218203276421674,8.751968855
Somalia,0.25105673335901163,0.8087284349722623,25.683691791
South Africa,0.33685398863552557,4.33300465155361,14417.960994983
South Korea,0.5967585303573084,2.778260466490795,17816.26743726
